ruleId,test_id,file,line,ground_truth
java/stack-trace-exposure,BenchmarkTest00005,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,118,1
java/stack-trace-exposure,BenchmarkTest00019,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,103,1
java/stack-trace-exposure,BenchmarkTest00020,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,108,1
java/stack-trace-exposure,BenchmarkTest00020,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,114,1
java/stack-trace-exposure,BenchmarkTest00020,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,120,1
java/stack-trace-exposure,BenchmarkTest00020,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,126,1
java/stack-trace-exposure,BenchmarkTest00020,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,132,1
java/stack-trace-exposure,BenchmarkTest00020,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,138,1
java/stack-trace-exposure,BenchmarkTest00020,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,144,1
java/stack-trace-exposure,BenchmarkTest00035,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,118,1
java/stack-trace-exposure,BenchmarkTest00050,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,109,1
java/stack-trace-exposure,BenchmarkTest00050,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,115,1
java/stack-trace-exposure,BenchmarkTest00050,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,121,1
java/stack-trace-exposure,BenchmarkTest00050,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,127,1
java/stack-trace-exposure,BenchmarkTest00050,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,133,1
java/stack-trace-exposure,BenchmarkTest00050,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,139,1
java/stack-trace-exposure,BenchmarkTest00050,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,145,1
java/stack-trace-exposure,BenchmarkTest00053,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,136,1
java/stack-trace-exposure,BenchmarkTest00053,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,142,1
java/stack-trace-exposure,BenchmarkTest00053,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,148,1
java/stack-trace-exposure,BenchmarkTest00053,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,154,1
java/stack-trace-exposure,BenchmarkTest00053,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,160,1
java/stack-trace-exposure,BenchmarkTest00053,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,166,1
